narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000001_HL,SCN000001,hi-en,Mixed,Hinglish,"Around 20:41, दुकान पर कानूनी issue हुआ।","Around 20:41, दुकान पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-01-30,,NAR000001_EN,synthetic_reviewed,,unannotated,validation
NAR000002_HL,SCN000002,hi-en,Mixed,Hinglish,"On 2026-07-17, around 23:20, आवासीय street पर कानूनी issue हुआ। Related amount rs, था।","On 2026-07-17, around 23:20, आवासीय street पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-01-11,,NAR000002_EN,synthetic_reviewed,,unannotated,challenge
NAR000003_HL,SCN000003,hi-en,Mixed,Hinglish,"Around 06:27, राजमार्ग पर संपत्ति damage हुआ।","Around 06:27, राजमार्ग पर संपत्ति damage हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-01-23,,NAR000003_EN,synthetic_reviewed,,unannotated,challenge
NAR000004_HL,SCN000004,hi-en,Mixed,Hinglish,"Around 07:45, mentioned जगह पर रिफंड विवाद हुआ।","Around 07:45, mentioned जगह पर रिफंड विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-01-23,,NAR000004_EN,synthetic_reviewed,,unannotated,train
NAR000005_HL,SCN000005,hi-en,Mixed,Hinglish,"Around 17:10, online प्लेटफॉर्म पर हैकिंग हुआ। Related amount rs, था।","Around 17:10, online प्लेटफॉर्म पर हैकिंग हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-02-10,,NAR000005_EN,synthetic_reviewed,,unannotated,test
NAR000006_HL,SCN000006,hi-en,Mixed,Hinglish,"Around 21:28, कार्यस्थल पर विवाद हुआ।","Around 21:28, कार्यस्थल पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-02-09,,NAR000006_EN,synthetic_reviewed,,unannotated,train
NAR000007_HL,SCN000007,hi-en,Mixed,Hinglish,"Around 21:31, अपार्टमेंट पर धमकी हुआ।","Around 21:31, अपार्टमेंट पर धमकी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-02-06,,NAR000007_EN,synthetic_reviewed,,unannotated,validation
NAR000008_HL,SCN000008,hi-en,Mixed,Hinglish,"On 2026-06-22, around 09:08, दुकान पर कानूनी issue हुआ। Related amount rs, था।","On 2026-06-22, around 09:08, दुकान पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-02-11,,NAR000008_EN,synthetic_reviewed,,unannotated,test
NAR000009_HL,SCN000009,hi-en,Mixed,Hinglish,"On 2026-07-05, around 04:50, रेस्तरां पर कानूनी issue हुआ।","On 2026-07-05, around 04:50, रेस्तरां पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-02-16,,NAR000009_EN,synthetic_reviewed,,unannotated,test
NAR000010_HL,SCN000010,hi-en,Mixed,Hinglish,"Around 09:18, दुकान पर धोखाधड़ी हुआ।","Around 09:18, दुकान पर धोखाधड़ी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2023-01-24,,NAR000010_EN,synthetic_reviewed,,unannotated,train
