narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000101_HI,SCN000101,hi,Devanagari,none,लगभग 15:46 बजे ऑनलाइन प्लेटफॉर्म पर सेवा के लिए रिफंड देने से इनकार की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,लगभग 15:46 बजे ऑनलाइन प्लेटफॉर्म पर सेवा के लिए रिफंड देने से इनकार की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-22,NAR000101_EN,,translated_review_required,,unannotated,validation
NAR000102_HI,SCN000102,hi,Devanagari,none,लगभग 12:48 बजे घर पर भावनात्मक और मौखिक दुर्व्यवहार की घटना हुई। पीड़ित ने स्वयं को असुरक्षित स्थिति में बताया और तत्काल सहायता की आवश्यकता व्यक्त की। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,लगभग 12:48 बजे घर पर भावनात्मक और मौखिक दुर्व्यवहार की घटना हुई। पीड़ित ने स्वयं को असुरक्षित स्थिति में बताया और तत्काल सहायता की आवश्यकता व्यक्त की। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-27,NAR000102_EN,,translated_review_required,,unannotated,challenge
NAR000103_HI,SCN000103,hi,Devanagari,none,लगभग 10:55 बजे दुकान पर दुकान में सेंधमारी की घटना हुई। संदिग्ध दोपहिया वाहन से घटनास्थल से भाग गए। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,लगभग 10:55 बजे दुकान पर दुकान में सेंधमारी की घटना हुई। संदिग्ध दोपहिया वाहन से घटनास्थल से भाग गए। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-12,NAR000103_EN,,translated_review_required,,unannotated,challenge
NAR000104_HI,SCN000104,hi,Devanagari,none,लगभग 00:43 बजे घर पर अभिभावकत्व विवाद की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,लगभग 00:43 बजे घर पर अभिभावकत्व विवाद की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-14,NAR000104_EN,,translated_review_required,,unannotated,validation
NAR000105_HI,SCN000105,hi,Devanagari,none,लगभग 19:41 बजे ऑनलाइन प्लेटफॉर्म पर दोषपूर्ण उत्पाद की डिलीवरी की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,लगभग 19:41 बजे ऑनलाइन प्लेटफॉर्म पर दोषपूर्ण उत्पाद की डिलीवरी की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-21,NAR000105_EN,,translated_review_required,,unannotated,validation
NAR000106_HI,SCN000106,hi,Devanagari,none,2026-07-02 को लगभग 06:38 बजे घर पर सीमा दीवार विवाद की घटना हुई। संपत्ति स्वामित्व के दस्तावेज़ सत्यापन के लिए प्रस्तुत किए गए हैं। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,2026-07-02 को लगभग 06:38 बजे घर पर सीमा दीवार विवाद की घटना हुई। संपत्ति स्वामित्व के दस्तावेज़ सत्यापन के लिए प्रस्तुत किए गए हैं। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-20,NAR000106_EN,,translated_review_required,,unannotated,test
NAR000107_HI,SCN000107,hi,Devanagari,none,2026-07-11 को लगभग 10:11 बजे कार्यस्थल पर रैनसमवेयर हमला की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,2026-07-11 को लगभग 10:11 बजे कार्यस्थल पर रैनसमवेयर हमला की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-27,NAR000107_EN,,translated_review_required,,unannotated,challenge
NAR000108_HI,SCN000108,hi,Devanagari,none,2026-07-10 को लगभग 23:22 बजे कार्यालय पर रोजगार अनुबंध का उल्लंघन की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,2026-07-10 को लगभग 23:22 बजे कार्यालय पर रोजगार अनुबंध का उल्लंघन की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-21,NAR000108_EN,,translated_review_required,,unannotated,challenge
NAR000109_HI,SCN000109,hi,Devanagari,none,2026-07-20 को लगभग 08:38 बजे कार्यस्थल पर सुरक्षित कार्य परिस्थितियों का उल्लंघन की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,2026-07-20 को लगभग 08:38 बजे कार्यस्थल पर सुरक्षित कार्य परिस्थितियों का उल्लंघन की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-21,NAR000109_EN,,translated_review_required,,unannotated,challenge
NAR000110_HI,SCN000110,hi,Devanagari,none,2026-06-29 को लगभग 06:57 बजे सड़क पर सार्वजनिक उपद्रव विवाद की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,2026-06-29 को लगभग 06:57 बजे सड़क पर सार्वजनिक उपद्रव विवाद की घटना हुई। मैं उचित कानूनी मार्गदर्शन के लिए उपलब्ध विवरण साझा कर रहा/रही हूँ।,formal,medium,chronological,moderate,none,False,False,False,2023-08-22,NAR000110_EN,,translated_review_required,,unannotated,train
