narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000001_HI,SCN000001,hi,Devanagari,none,लगभग 20:41 बजे दुकान पर झूठे विज्ञापन और गलत प्रस्तुतीकरण हुई।,लगभग 20:41 बजे दुकान पर झूठे विज्ञापन और गलत प्रस्तुतीकरण हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-01-30,NAR000001_EN,,translated_review_required,,unannotated,validation
NAR000002_HI,SCN000002,hi,Devanagari,none,"2026-07-17 को लगभग 23:20 बजे आवासीय सड़क पर ध्वनि प्रदूषण की शिकायत हुई। संबंधित राशि: rs,।","2026-07-17 को लगभग 23:20 बजे आवासीय सड़क पर ध्वनि प्रदूषण की शिकायत हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2023-01-11,NAR000002_EN,,translated_review_required,,unannotated,challenge
NAR000003_HI,SCN000003,hi,Devanagari,none,लगभग 06:27 बजे राजमार्ग पर नशे में वाहन चलाने से दुर्घटना हुई।,लगभग 06:27 बजे राजमार्ग पर नशे में वाहन चलाने से दुर्घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-01-23,NAR000003_EN,,translated_review_required,,unannotated,challenge
NAR000004_HI,SCN000004,hi,Devanagari,none,लगभग 07:45 बजे शोरूम पर झूठे विज्ञापन और गलत प्रस्तुतीकरण हुई।,लगभग 07:45 बजे शोरूम पर झूठे विज्ञापन और गलत प्रस्तुतीकरण हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-01-23,NAR000004_EN,,translated_review_required,,unannotated,train
NAR000005_HI,SCN000005,hi,Devanagari,none,"लगभग 17:10 बजे ऑनलाइन प्लेटफॉर्म पर सोशल मीडिया हैकिंग हुई। संबंधित राशि: rs,।","लगभग 17:10 बजे ऑनलाइन प्लेटफॉर्म पर सोशल मीडिया हैकिंग हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2023-02-10,NAR000005_EN,,translated_review_required,,unannotated,test
NAR000006_HI,SCN000006,hi,Devanagari,none,लगभग 21:28 बजे कार्यस्थल पर सुरक्षित कार्य परिस्थितियों का उल्लंघन हुई।,लगभग 21:28 बजे कार्यस्थल पर सुरक्षित कार्य परिस्थितियों का उल्लंघन हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-02-09,NAR000006_EN,,translated_review_required,,unannotated,train
NAR000007_HI,SCN000007,hi,Devanagari,none,लगभग 21:31 बजे अपार्टमेंट पर घरेलू विवाद हुई।,लगभग 21:31 बजे अपार्टमेंट पर घरेलू विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-02-06,NAR000007_EN,,translated_review_required,,unannotated,validation
NAR000008_HI,SCN000008,hi,Devanagari,none,"2026-06-22 को लगभग 09:08 बजे दुकान पर किरायेदार-मकान मालिक विवाद हुई। संबंधित राशि: rs,।","2026-06-22 को लगभग 09:08 बजे दुकान पर किरायेदार-मकान मालिक विवाद हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2023-02-11,NAR000008_EN,,translated_review_required,,unannotated,test
NAR000009_HI,SCN000009,hi,Devanagari,none,2026-07-05 को लगभग 04:50 बजे रेस्तरां पर अधिक शुल्क और छिपे हुए शुल्क हुई।,2026-07-05 को लगभग 04:50 बजे रेस्तरां पर अधिक शुल्क और छिपे हुए शुल्क हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-02-16,NAR000009_EN,,translated_review_required,,unannotated,test
NAR000010_HI,SCN000010,hi,Devanagari,none,लगभग 09:18 बजे दुकान पर धोखाधड़ी की घटना हुई।,लगभग 09:18 बजे दुकान पर धोखाधड़ी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2023-01-24,NAR000010_EN,,translated_review_required,,unannotated,train
