narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000401_HI,SCN000401,hi,Devanagari,none,लगभग 06:51 बजे मोबाइल ऐप पर चोरी की घटना हुई।,लगभग 06:51 बजे मोबाइल ऐप पर चोरी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-03,NAR000401_EN,,translated_review_required,,unannotated,train
NAR000402_HI,SCN000402,hi,Devanagari,none,"2026-06-25 को लगभग 21:17 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई। संबंधित राशि: rs,।","2026-06-25 को लगभग 21:17 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-16,NAR000402_EN,,translated_review_required,,unannotated,validation
NAR000403_HI,SCN000403,hi,Devanagari,none,लगभग 04:12 बजे होटल पर रिफंड से जुड़ा विवाद हुई।,लगभग 04:12 बजे होटल पर रिफंड से जुड़ा विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-10,NAR000403_EN,,translated_review_required,,unannotated,train
NAR000404_HI,SCN000404,hi,Devanagari,none,लगभग 03:04 बजे उल्लिखित स्थान पर धोखाधड़ी की घटना हुई।,लगभग 03:04 बजे उल्लिखित स्थान पर धोखाधड़ी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-03,NAR000404_EN,,translated_review_required,,unannotated,test
NAR000405_HI,SCN000405,hi,Devanagari,none,लगभग 13:09 बजे अपार्टमेंट पर धमकी की घटना हुई।,लगभग 13:09 बजे अपार्टमेंट पर धमकी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-27,NAR000405_EN,,translated_review_required,,unannotated,validation
NAR000406_HI,SCN000406,hi,Devanagari,none,लगभग 11:40 बजे दुकान पर विवाद हुई।,लगभग 11:40 बजे दुकान पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-11,NAR000406_EN,,translated_review_required,,unannotated,validation
NAR000407_HI,SCN000407,hi,Devanagari,none,लगभग 00:51 बजे उल्लिखित स्थान पर धमकी की घटना हुई।,लगभग 00:51 बजे उल्लिखित स्थान पर धमकी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-27,NAR000407_EN,,translated_review_required,,unannotated,validation
NAR000408_HI,SCN000408,hi,Devanagari,none,लगभग 17:13 बजे उल्लिखित स्थान पर विवाद हुई।,लगभग 17:13 बजे उल्लिखित स्थान पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-11,NAR000408_EN,,translated_review_required,,unannotated,train
NAR000409_HI,SCN000409,hi,Devanagari,none,लगभग 01:34 बजे अपार्टमेंट पर कानूनी मुद्दे से जुड़ी घटना हुई।,लगभग 01:34 बजे अपार्टमेंट पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-30,NAR000409_EN,,translated_review_required,,unannotated,validation
NAR000410_HI,SCN000410,hi,Devanagari,none,लगभग 21:17 बजे बैंक पर धोखाधड़ी की घटना हुई।,लगभग 21:17 बजे बैंक पर धोखाधड़ी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-23,NAR000410_EN,,translated_review_required,,unannotated,train
NAR000411_HI,SCN000411,hi,Devanagari,none,लगभग 03:20 बजे सड़क पर विवाद हुई।,लगभग 03:20 बजे सड़क पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-06-10,NAR000411_EN,,translated_review_required,,unannotated,challenge
NAR000412_HI,SCN000412,hi,Devanagari,none,लगभग 00:55 बजे उल्लिखित स्थान पर उत्पीड़न की घटना हुई।,लगभग 00:55 बजे उल्लिखित स्थान पर उत्पीड़न की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-05-26,NAR000412_EN,,translated_review_required,,unannotated,validation
